"college","cour","section","instructor","max","open"
"BUS","ACC 204.","1","Carol Sargent",36,0
"BUS","ACC 204.","2","Carol Sargent",36,0
"BUS","ACC 204.","3","Blake Bowler",36,1
"BUS","ACC 204.","4","Stephanie Morris",20,0
"BUS","ACC 204.","5","Stephanie Morris",20,0
"BUS","ACC 205.","1","Anita Kapoor",30,6
"BUS","ACC 305.","1","Anissa Jordan",1,0
"BUS","ACC 331.","1","Blake Bowler",35,7
"BUS","ACC 375.","1","Stephanie Morris",22,0
"BUS","ACC 375.","1W1M","Marlissa Phillips",30,23
"BUS","ACC 377.","1","Judy Ware",25,4
"BUS","ACC 431.","1","Carol Sargent",25,5
"BUS","BUS 202.","1","Donna Terrill",32,0
"BUS","BUS 202.","2","Donna Terrill",32,17
"BUS","BUS 275.","1","Marko Horn",30,18
"BUS","BUS 281.","1","James Bumpus",25,0
"BUS","BUS 281.","2","Pamela Burkhalter",20,0
"BUS","BUS 281.","3","Pamela Burkhalter",20,0
"BUS","BUS 305.","1","Anissa Jordan",1,0
"BUS","BUS 346.","1","Jason Ashford",36,0
"BUS","BUS 346.","2","James Hunt",37,1
"BUS","BUS 346.","3","James Hunt",36,0
"BUS","BUS 346.","1W1","Derrick Pope",30,15
"BUS","BUS 349.","1W1","James Wood",30,0
"BUS","BUS 350.","1","Rui Sun",33,17
"BUS","BUS 350.","2","Rui Sun",33,3
"BUS","BUS 350.","3","Rui Sun",24,1
"BUS","BUS 350.","2W1","Allen Lynch",30,0
"BUS","BUS 402.","1","Ashley Herman",30,13
"BUS","BUS 402.","2","Ashley Herman",30,20
"BUS","BUS 402.","3","Course #Cancelled",30,30
"BUS","BUS 482.","1","Donna Terrill",25,5
"BUS","BUS 482.","2","Donna Terrill",26,7
"BUS","ECN 150.","1","Robert Ragan",45,2
"BUS","ECN 150.","2","Robert Ragan",45,16
"BUS","ECN 150.","3","Andres Marroquin",45,0
"BUS","ECN 150.","4","Andres Marroquin",45,1
"BUS","ECN 150.","1W1","David Kahn",30,0
"BUS","ECN 151.","1","Allen Lynch",45,4
"BUS","ECN 151.","2","Allen Lynch",45,4
"BUS","ECN 151.","3","Earl Shinn",45,25
"BUS","ECN 303.","1","Andres Marroquin",33,6
"BUS","ECN 310.","1","Robert Ragan",25,1
"BUS","ECN 441.","1","Antonio Saravia",42,34
"BUS","ECN 441.","2","Antonio Saravia",35,16
"BUS","ECN 478.","1","Antonio Saravia",1,0
"BUS","ECN 478.","2","Andres Marroquin",1,1
"BUS","ECN 478.","3","Robert Ragan",1,0
"BUS","FIN 362.","1","John Gordon",26,0
"BUS","FIN 362.","2","Peter Williams",30,3
"BUS","FIN 395.","1","Kenneth Tah",35,14
"BUS","FIN 404.","1","Kenneth Tah",30,7
"BUS","FIN 404.","2","Kenneth Tah",30,15
"BUS","FIN 406.","1","Geoffrey Ngene",20,10
"BUS","FIN 409.","2","Charles Lambert",30,17
"BUS","FIN 416.","1","John Gordon",20,2
"BUS","FIN 417.","1","Christopher Orrison",15,15
"BUS","FIN 463.","1","Geoffrey Ngene",25,12
"BUS","FIN 463.","2","Geoffrey Ngene",25,1
"BUS","FIN 477.","1","James Henry",30,25
"BUS","FIN 478.","1","Geoffrey Ngene",1,0
"BUS","FIN 478.","2","Geoffrey Ngene",1,1
"BUS","MGT 363.","1","Agnieszka Shepard",58,0
"BUS","MGT 363.","2","Agnieszka Shepard",51,0
"BUS","MGT 363.","1W1","Laura Morrow",30,0
"BUS","MGT 375.","1","Holly Campbell",25,0
"BUS","MGT 375.","2","Holly Campbell",25,8
"BUS","MGT 382.","1","Ali Tolooie",35,15
"BUS","MGT 382.","2W1T","Bradley Wilson",30,10
"BUS","MGT 420.","1","Krista Massey",22,0
"BUS","MGT 423.","2W1","Laura Morrow",30,0
"BUS","MGT 427.","1","Marko Horn",30,6
"BUS","MGT 427.","2","Marko Horn",30,6
"BUS","MGT 427.","1W1","Briana Stenard",31,0
"BUS","MGT 429.","1","Felicer Lewis",35,0
"BUS","MGT 472.","1","Stephanie Howard",15,3
"BUS","MGT 472.","2","Stephanie Howard",15,0
"BUS","MGT 477.","1","Harold Tessendorf",25,4
"BUS","MGT 477.","2","Tammy Crutchfield",1,0
"BUS","MGT 477.","3","Tammy Crutchfield",1,0
"BUS","MGT 478.","1","Juanita Forrester",1,0
"BUS","MGT 478.","2","Agnieszka Shepard",1,1
"BUS","MGT 498.","1","John Gordon",25,0
"BUS","MGT 498.","2","John Gordon",25,1
"BUS","MKT 361.","1","Stephanie Howard",51,0
"BUS","MKT 361.","2","Stephanie Howard",51,0
"BUS","MKT 415.","0V1","Tammy Crutchfield",20,3
"BUS","MKT 415.","0V2","Tammy Crutchfield",25,0
"BUS","MKT 415.","2W1","Gina Miller",30,18
"BUS","MKT 420.","1","Gregory McAmis",20,0
"BUS","MKT 442.","1","Krista Massey",30,2
"BUS","MKT 442.","2","Krista Massey",30,4
"BUS","MKT 442.","1W1","Gina Miller",30,12
"BUS","MKT 472.","1","Stephanie Howard",15,4
"BUS","MKT 472.","2","Stephanie Howard",15,0
"BUS","MKT 477.","1","Matthew Michael",20,20
"BUS","MKT 477.","2","Brandon Raphael",25,0
"BUS","MKT 478.","1","TBA #Staff",1,1
"BUS","MKT 478.","2","Laura Boman",1,0
"BUS","SBM 401.","1","Laura Boman",40,13
"BUS","SBM 405.","1","Anissa Jordan",1,0
"BUS","SBM 460.","1","Laura Boman",24,0
"CHP","KIN 101.","1","Christopher Rawdon",30,2
"CHP","KIN 101.","2","Christopher Rawdon",30,0
"CHP","KIN 201.","1","Heather Webb",30,7
"CHP","KIN 201.","2","Heather Webb",30,16
"CHP","KIN 301.","1","Christopher Rawdon",36,21
"CHP","KIN 302.","1","Heather Webb",12,4
"CHP","KIN 302.","2","Christopher Rawdon",12,5
"CHP","KIN 303.","1","Rachel Le",40,16
"CHP","KIN 320.","1","TBA #Staff",40,29
"CHP","PBH 101.","1","Mary Mathis",25,0
"CHP","PBH 200.","1","Suzanne Madden",25,0
"CHP","PBH 202.","1","Kia Powell",25,0
"CHP","PBH 303.","1","Suzanne Madden",36,1
"CHP","PBH 307.","1","Joy Harris",33,1
"CHP","PBH 400.","1","Mary Mathis",20,0
"CHP","PBH 401.","91","Suzanne Madden",1,0
"CHP","PBH 402.","1","Mary Mathis",20,0
"CHP","PBH 407.","1","Mary Mathis",29,0
"CHP","PBH 490.","91","Mary Mathis",1,0
"CLA","AFR 190.","1","Chester Fontenot",30,9
"CLA","AFR 190.","2","Chester Fontenot",30,1
"CLA","AFR 221.","1","Chester Fontenot",25,2
"CLA","AFR 300.","1","Jacqueline Pinkowitz",20,16
"CLA","AFR 363.","1","Matthew Harper",20,8
"CLA","AFR 386.","1","Riku Kawaguchi",20,14
"CLA","AFR 495.","91","Chester Fontenot",1,0
"CLA","ANT 101.","1","Natalie Bourdon",30,0
"CLA","ANT 345.","1","Amy Nichols-Belo",18,0
"CLA","ANT 362.","1","Natalie Bourdon",22,13
"CLA","ART 106.","1","Erin McClenathan",30,0
"CLA","ART 115.","1","Benjamin Dunn",16,0
"CLA","ART 115.","2","Eric O'Dell",16,0
"CLA","ART 115.","3","Hazel Caldwell",16,0
"CLA","ART 116.","1","Yvonne Gabriel",16,0
"CLA","ART 116C","1","Craig Coleman",15,0
"CLA","ART 117.","1","Mary O'Malley",13,2
"CLA","ART 222.","1","Erin McClenathan",25,0
"CLA","ART 223.","1","Mary O'Malley",14,1
"CLA","ART 224.","1","Mary O'Malley",10,0
"CLA","ART 225.","1","Eric O'Dell",10,0
"CLA","ART 240.","1","Craig Coleman",13,2
"CLA","ART 254.","1","Craig Coleman",15,7
"CLA","ART 367.","1","Erin McClenathan",15,2
"CLA","ART 381.","1","Eric O'Dell",10,6
"CLA","ART 382.","1","Eric O'Dell",15,13
"CLA","ART 398.","3","Tennille Shuster",3,2
"CLA","ART 398.","4","Erin McClenathan",1,1
"CLA","ART 475.","1","Benjamin Dunn",15,8
