State,Rate
Alabama,14.2
Alaska,21.9
Arizona,19
Arkansas,14.5
California,19.2
Colorado,15.9
Connecticut,14.7
Delaware,17.1
Florida,15.2
Georgia,17.1
Hawaii,17.6
Idaho,15.2
Illinois,16
Indiana,14.8
Iowa,13.1
Kansas,14.2
Kentucky,14.1
Louisiana,15.7
Maine,13.8
Maryland,14.4
Massachusetts,16.3
Michigan,15.4
Minnesota,15.3
Mississippi,16.1
Missouri,15.5
Montana,14.1
Nebraska,15.1
Nevada,16.5
New Hampshire,16.2
New Jersey,15.1
New Mexico,17.9
New York,16.2
North Carolina,15.6
North Dakota,16.5
Ohio,14.9
Oklahoma,14.4
Oregon,15.5
Pennsylvania,14.1
Rhode Island,15.3
South Carolina,15.7
South Dakota,15.4
Tennessee,15.5
Texas,17.7
Utah,21.2
Vermont,14
Virginia,15.3
Washington,15.4
West Virginia,12.4
Wisconsin,14.8
Wyoming,13.7
