"VIN","County","City","Year","Make","Model","Range"
"5YJ3E1EA5L","Yakima","Yakima",2020,"WallE","Alpha",266
"5YJ3E1EA9K","Thurston","Olympia",2019,"WallE","Alpha",220
"5YJSA1H22F","Kitsap","Kingston",2015,"WallE","Beta",208
"5YJ3E1EB1K","Yakima","Yakima",2019,"WallE","Alpha",220
"5YJ3E1EB6L","Kitsap","Silverdale",2020,"WallE","Alpha",322
"5YJ3E1EA9J","Yakima","Yakima",2018,"WallE","Alpha",215
"5YJ3E1EA3L","Snohomish","Lynnwood",2020,"WallE","Alpha",266
"5YJXCDE29J","Snohomish","Snohomish",2018,"WallE","Delta",238
"5YJXCBE29G","King","Sammamish",2016,"WallE","Delta",200
"5YJ3E1EB8K","Yakima","Yakima",2019,"WallE","Alpha",220
"5YJYGDEFXL","Snohomish","Bothell",2020,"WallE","Omega",291
"5YJYGDEF5L","King","Renton",2020,"WallE","Omega",291
"5YJYGDEF5L","Kitsap","Silverdale",2020,"WallE","Omega",291
"5YJSA1E26J","Snohomish","Mukilteo",2018,"WallE","Beta",249
"5YJ3E1EA4K","Snohomish","Everett",2019,"WallE","Alpha",220
"5YJ3E1EB3J","King","Seatac",2018,"WallE","Alpha",215
"5YJ3E1EA4L","Thurston","Olympia",2020,"WallE","Alpha",266
"5YJXCAE4XG","King","Seattle",2016,"WallE","Delta",200
"5YJ3E1EB3J","King","Auburn",2018,"WallE","Alpha",215
"5YJ3E1EA2J","Snohomish","Everett",2018,"WallE","Alpha",215
"5YJSA1E25J","Kitsap","Poulsbo",2018,"WallE","Beta",249
"5YJSA1DG5D","Kitsap","Bremerton",2013,"WallE","Beta",208
"5YJ3E1EA4J","Snohomish","Snohomish",2018,"WallE","Alpha",215
"5YJ3E1EBXJ","King","Seattle",2018,"WallE","Alpha",215
"5YJXCBE44G","Snohomish","Bothell",2016,"WallE","Delta",200
"5YJSA1E21H","King","Seattle",2017,"WallE","Beta",210
"5YJXCBE40G","Snohomish","Mill Creek",2016,"WallE","Delta",200
"5YJXCBE24H","King","Seattle",2017,"WallE","Delta",200
"5YJ3E1EB3L","Kitsap","Bremerton",2020,"WallE","Alpha",322
"5YJYGDEF2L","Thurston","Yelm",2020,"WallE","Omega",291
"5YJYGDEE8L","Snohomish","Monroe",2020,"WallE","Omega",291
"5YJ3E1EA2J","King","Duvall",2018,"WallE","Alpha",215
"5YJXCBE24K","King","Tukwila",2019,"WallE","Delta",289
"5YJSA1E28F","Snohomish","Mill Creek",2015,"WallE","Beta",208
"5YJ3E1EB8L","Yakima","Yakima",2020,"WallE","Alpha",322
"5YJSA1E23H","Snohomish","Lynnwood",2017,"WallE","Beta",210
"5YJ3E1EB7K","Thurston","Olympia",2019,"WallE","Alpha",220
"5YJYGDEE1L","King","Seattle",2020,"WallE","Omega",291
"5YJYGDEF7L","Kitsap","Bainbridge Island",2020,"WallE","Omega",291
"5YJ3E1EB4K","Kitsap","Poulsbo",2019,"WallE","Alpha",220
"5YJXCAE23H","King","Seattle",2017,"WallE","Delta",200
"5YJSA1H20F","Snohomish","Lake Stevens",2015,"WallE","Beta",208
"5YJSA1E15H","Kitsap","Bainbridge Island",2017,"WallE","Beta",210
"5YJ3E1EB7K","King","Seatac",2019,"WallE","Alpha",220
"5YJ3E1EA0J","Snohomish","Bothell",2018,"WallE","Alpha",215
"5YJSA1DP4D","Yakima","Zillah",2013,"WallE","Beta",208
"5YJ3E1EB7J","Thurston","Olympia",2018,"WallE","Alpha",215
"5YJ3E1EB0L","Thurston","Yelm",2020,"WallE","Alpha",322
"5YJ3E1EBXK","King","Seattle",2019,"WallE","Alpha",220
"5YJXCAE25L","Yakima","Yakima",2020,"WallE","Delta",293
"5YJ3E1EA3K","Snohomish","Everett",2019,"WallE","Alpha",220
"5YJ3E1EA2J","Kitsap","Bremerton",2018,"WallE","Alpha",215
"5YJ3E1EC2L","Thurston","Lacey",2020,"WallE","Alpha",308
"5YJ3E1EA4J","Yakima","Selah",2018,"WallE","Alpha",215
"5YJXCBE2XH","Yakima","Yakima",2017,"WallE","Delta",200
"5YJ3E1EBXK","Kitsap","Bremerton",2019,"WallE","Alpha",220
"5YJ3E1EA8J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EB7J","Snohomish","Snohomish",2018,"WallE","Alpha",215
"5YJ3E1EB4L","Snohomish","Mukilteo",2020,"WallE","Alpha",322
"5YJ3E1EB4K","Thurston","Olympia",2019,"WallE","Alpha",220
"5YJ3E1EB5J","Yakima","Yakima",2018,"WallE","Alpha",215
"5YJXCDE27H","Thurston","Olympia",2017,"WallE","Delta",200
"5YJSA1E23G","Kitsap","Port Orchard",2016,"WallE","Beta",210
"5YJSA1E28G","Thurston","Olympia",2016,"WallE","Beta",210
"5YJXCDE2XL","King","Issaquah",2020,"WallE","Delta",289
"5YJ3E1EA8L","Snohomish","Everett",2020,"WallE","Alpha",266
"5YJ3E1EB2J","Snohomish","Lynnwood",2018,"WallE","Alpha",215
"5YJ3E1EA1J","Snohomish","Mill Creek",2018,"WallE","Alpha",215
"5YJ3E1EA9J","Snohomish","Marysville",2018,"WallE","Alpha",215
"5YJ3E1EBXL","Kitsap","Bremerton",2020,"WallE","Alpha",322
"5YJSA1E23G","Thurston","Olympia",2016,"WallE","Beta",210
"5YJ3E1EA2J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EB0J","Whitman","Pullman",2018,"WallE","Alpha",215
"5YJYGDEE3L","Kitsap","Silverdale",2020,"WallE","Omega",291
"5YJSA1E20L","Skagit","Mount Vernon",2020,"WallE","Beta",330
"5YJSA1E24L","Snohomish","Lake Stevens",2020,"WallE","Beta",330
"5YJ3E1EA4J","Snohomish","Lynnwood",2018,"WallE","Alpha",215
"5YJ3E1EA5L","King","Bellevue",2020,"WallE","Alpha",266
"5YJ3E1EB5J","Yakima","Yakima",2018,"WallE","Alpha",215
"5YJ3E1EB2L","Snohomish","Lynnwood",2020,"WallE","Alpha",322
"5YJ3E1EA8L","Snohomish","Snohomish",2020,"WallE","Alpha",266
"5YJ3E1EB6J","King","Redmond",2018,"WallE","Alpha",215
"5YJ3E1EC2L","King","Issaquah",2020,"WallE","Alpha",308
"5YJXCAE24K","Snohomish","Bothell",2019,"WallE","Delta",289
"5YJ3E1EB0L","Snohomish","Bothell",2020,"WallE","Alpha",322
"5YJ3E1EA1L","Snohomish","Everett",2020,"WallE","Alpha",266
"5YJYGDEEXL","Snohomish","Everett",2020,"WallE","Omega",291
"5YJYGDEE4L","Snohomish","Brier",2020,"WallE","Omega",291
"5YJ3E1EA7L","King","Medina",2020,"WallE","Alpha",266
"5YJSA1H21F","Kitsap","Bremerton",2015,"WallE","Beta",208
"5YJSA1H14E","Chelan","Malaga",2014,"WallE","Beta",208
"5YJYGDEEXL","King","Seattle",2020,"WallE","Omega",291
"5YJ3E1EB4J","Whitman","Pullman",2018,"WallE","Alpha",215
"5YJYGDEE4L","Snohomish","Marysville",2020,"WallE","Omega",291
"5YJXCDE28H","Snohomish","Snohomish",2017,"WallE","Delta",200
"5YJSA1E29H","Skagit","Mount Vernon",2017,"WallE","Beta",210
"5YJSA1E2XH","Walla Walla","Walla Walla",2017,"WallE","Beta",210
"5YJ3E1EAXJ","Snohomish","Snohomish",2018,"WallE","Alpha",215
"5YJYGDEE7L","Snohomish","Marysville",2020,"WallE","Omega",291
"5YJ3E1EA6K","Snohomish","Lynnwood",2019,"WallE","Alpha",220
"5YJ3E1EB5K","Snohomish","Edmonds",2019,"WallE","Alpha",220
"5YJ3E1EB7J","Thurston","Olympia",2018,"WallE","Alpha",215
"5YJXCDE29L","Skagit","Anacortes",2020,"WallE","Delta",289
"5YJSA1E23J","Skagit","Sedro-Woolley",2018,"WallE","Beta",249
"5YJSA1CP8D","Kitsap","Poulsbo",2013,"WallE","Beta",208
"5YJ3E1EA1K","Snohomish","Lynnwood",2019,"WallE","Alpha",220
"5YJ3E1EA4J","Kitsap","Bremerton",2018,"WallE","Alpha",215
"5YJYGDEE7L","Grant","Mattawa",2020,"WallE","Omega",291
"5YJ3E1EB9L","Grant","Moses Lake",2020,"WallE","Alpha",322
"5YJ3E1EB4J","Yakima","Yakima",2018,"WallE","Alpha",215
"5YJ3E1EB5J","Snohomish","Lake Stevens",2018,"WallE","Alpha",215
"5YJ3E1EB0J","Thurston","Olympia",2018,"WallE","Alpha",215
"5YJSA1E41J","Snohomish","Marysville",2018,"WallE","Beta",249
"5YJ3E1EA0K","Grant","Moses Lake",2019,"WallE","Alpha",220
"5YJSA1E21G","Kitsap","Poulsbo",2016,"WallE","Beta",210
"5YJXCDE27J","Chelan","Wenatchee",2018,"WallE","Delta",238
"5YJ3E1EB0J","Island","Langley",2018,"WallE","Alpha",215
"5YJSA1E43K","Skagit","Anacortes",2019,"WallE","Beta",270
"5YJ3E1EB5J","Snohomish","Lynnwood",2018,"WallE","Alpha",215
"5YJXCAE45J","King","Seattle",2018,"WallE","Delta",238
"5YJYGDEE2L","Snohomish","Monroe",2020,"WallE","Omega",291
