Date,CustomerType,ProductLine,UnitPrice,Payment,Rating
1/1/2024,Member,Food & Beverages,84.63,Credit card,9
1/1/2024,Normal,Electronics,63.22,Cash,8.5
1/1/2024,Normal,Electronics,74.71,Cash,6.7
1/1/2024,Member,Sports & Travel,36.98,Credit card,7
1/1/2024,Member,Sports & Travel,27.04,Ewallet,6.9
1/1/2024,Normal,Fashion & Accs,65.74,Cash,7.7
1/1/2024,Member,Home & Lifestyle,47.59,Cash,5.7
1/1/2024,Normal,Sports & Travel,72.61,Credit card,6.9
1/1/2024,Normal,Health & Beauty,62.87,Cash,5
1/1/2024,Normal,Food & Beverages,21.12,Cash,6.3
1/1/2024,Member,Sports & Travel,29.22,Ewallet,5
1/1/2024,Member,Electronics,74.22,Credit card,4.3
1/2/2024,Normal,Sports & Travel,42.47,Cash,5.7
1/2/2024,Member,Fashion & Accs,40.61,Cash,7
1/2/2024,Normal,Sports & Travel,44.63,Credit card,5.1
1/2/2024,Member,Food & Beverages,41.66,Ewallet,5.6
1/2/2024,Member,Sports & Travel,31.67,Credit card,5.6
1/2/2024,Normal,Health & Beauty,34.21,Cash,5.1
1/2/2024,Normal,Electronics,22.01,Cash,7.6
1/2/2024,Normal,Fashion & Accs,99.82,Credit card,6.7
1/3/2024,Normal,Home & Lifestyle,63.15,Ewallet,9.8
1/3/2024,Member,Health & Beauty,75.88,Credit card,7.1
1/3/2024,Normal,Sports & Travel,93.38,Cash,9.6
1/3/2024,Normal,Health & Beauty,70.01,Ewallet,5.5
1/3/2024,Normal,Health & Beauty,23.03,Ewallet,7.9
1/3/2024,Member,Health & Beauty,21.12,Cash,9.7
1/3/2024,Normal,Home & Lifestyle,67.09,Credit card,9.1
1/3/2024,Member,Health & Beauty,62,Credit card,6.2
1/4/2024,Normal,Sports & Travel,46.42,Credit card,4.4
1/4/2024,Member,Health & Beauty,20.97,Cash,7.8
1/4/2024,Member,Electronics,66.65,Credit card,9.7
1/4/2024,Member,Home & Lifestyle,35.54,Ewallet,7
1/4/2024,Member,Fashion & Accs,68.71,Cash,4.1
1/4/2024,Member,Electronics,72.17,Cash,6.1
1/5/2024,Member,Fashion & Accs,31.9,Ewallet,9.1
1/5/2024,Normal,Fashion & Accs,27.38,Credit card,7.9
1/5/2024,Member,Home & Lifestyle,35.38,Credit card,9.6
1/5/2024,Normal,Fashion & Accs,76.06,Credit card,9.8
1/5/2024,Member,Health & Beauty,74.69,Ewallet,9.1
1/5/2024,Normal,Food & Beverages,71.2,Credit card,9.2
1/5/2024,Member,Home & Lifestyle,70.74,Credit card,4.4
1/5/2024,Normal,Electronics,93.88,Credit card,7.3
1/5/2024,Normal,Health & Beauty,78.89,Ewallet,7.5
1/5/2024,Member,Fashion & Accs,73.96,Credit card,5
1/5/2024,Member,Home & Lifestyle,62.65,Cash,4.2
1/5/2024,Normal,Home & Lifestyle,42.91,Ewallet,6.1
1/6/2024,Normal,Home & Lifestyle,62.19,Ewallet,4.3
1/6/2024,Normal,Food & Beverages,89.48,Credit card,9.6
1/6/2024,Normal,Sports & Travel,15.34,Cash,6.5
1/6/2024,Member,Health & Beauty,80.47,Cash,9.2
1/6/2024,Member,Home & Lifestyle,58.9,Cash,8.9
1/6/2024,Normal,Fashion & Accs,81.68,Cash,9.1
1/6/2024,Normal,Food & Beverages,40.94,Ewallet,9.9
1/6/2024,Normal,Sports & Travel,64.59,Ewallet,9.3
1/6/2024,Normal,Fashion & Accs,42.57,Cash,6.8
1/7/2024,Normal,Fashion & Accs,47.97,Cash,6.2
1/7/2024,Member,Home & Lifestyle,21.82,Cash,7.1
1/7/2024,Normal,Food & Beverages,27.22,Cash,7.3
