Weight,Gender
86,Female
90,Female
90,Female
99,Female
102,Female
103,Female
103,Female
103,Female
104,Female
104,Female
105,Female
107,Female
107,Female
108,Female
110,Female
110,Female
111,Female
111,Female
112,Female
112,Female
112,Female
112,Female
113,Female
113,Female
114,Female
114,Female
115,Female
115,Female
116,Female
119,Female
119,Female
121,Female
121,Female
121,Female
122,Female
122,Female
122,Female
123,Female
124,Female
124,Female
125,Female
125,Female
126,Female
126,Female
126,Female
126,Female
126,Female
126,Female
126,Female
126,Female
127,Female
127,Female
127,Female
127,Female
128,Female
128,Female
129,Female
129,Female
130,Female
130,Female
131,Female
131,Female
132,Female
132,Female
132,Female
132,Female
133,Female
134,Female
135,Female
135,Female
136,Female
136,Female
136,Female
136,Female
137,Female
138,Female
138,Female
138,Female
139,Female
139,Female
139,Female
140,Female
140,Female
141,Female
142,Female
143,Female
144,Female
146,Female
147,Female
149,Female
150,Female
151,Female
151,Female
151,Female
155,Female
160,Female
165,Female
249,Male
221,Male
217,Male
202,Male
202,Male
205,Male
205,Male
206,Male
209,Male
209,Male
209,Male
190,Male
190,Male
190,Male
190,Male
190,Male
191,Male
191,Male
192,Male
194,Male
194,Male
195,Male
198,Male
180,Male
181,Male
181,Male
182,Male
182,Male
182,Male
183,Male
184,Male
184,Male
184,Male
185,Male
185,Male
185,Male
186,Male
186,Male
186,Male
186,Male
187,Male
189,Male
189,Male
189,Male
171,Male
171,Male
171,Male
172,Male
173,Male
173,Male
174,Male
174,Male
174,Male
175,Male
175,Male
176,Male
176,Male
176,Male
176,Male
177,Male
177,Male
177,Male
177,Male
179,Male
160,Male
161,Male
161,Male
161,Male
161,Male
162,Male
164,Male
165,Male
166,Male
166,Male
168,Male
168,Male
168,Male
168,Male
151,Male
151,Male
151,Male
155,Male
155,Male
155,Male
156,Male
156,Male
156,Male
157,Male
157,Male
158,Male
159,Male
140,Male
145,Male
147,Male
147,Male
148,Male
149,Male
130,Male
131,Male
132,Male
133,Male
137,Male
129,Male
