Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,4.520000,4.600000,3.870000,4.030000,4.030000,1074900
2020-01-03,4.000000,4.190000,3.920000,4.030000,4.030000,242900
2020-01-06,4.000000,4.030000,3.750000,3.750000,3.750000,370300
2020-01-07,3.710000,3.720000,3.260000,3.270000,3.270000,760000
2020-01-08,3.310000,3.470000,3.210000,3.210000,3.210000,437100
2020-01-09,3.260000,3.480000,3.220000,3.230000,3.230000,404200
2020-01-10,3.300000,3.600000,3.260000,3.400000,3.400000,509200
2020-01-13,3.470000,3.800000,3.410000,3.770000,3.770000,820700
2020-01-14,3.770000,4.090000,3.640000,3.660000,3.660000,706600
2020-01-15,3.620000,3.840000,3.620000,3.710000,3.710000,227000
2020-01-16,3.710000,3.850000,3.650000,3.780000,3.780000,199900
2020-01-17,3.810000,3.820000,3.520000,3.670000,3.670000,271900
2020-01-21,3.630000,3.750000,3.600000,3.670000,3.670000,170900
2020-01-22,3.670000,3.960000,3.640000,3.880000,3.880000,230100
2020-01-23,3.920000,3.930000,3.610000,3.700000,3.700000,325800
2020-01-24,3.790000,3.790000,3.550000,3.570000,3.570000,257900
2020-01-27,3.500000,3.560000,3.360000,3.490000,3.490000,178200
2020-01-28,3.520000,3.630000,3.490000,3.560000,3.560000,114700
2020-01-29,3.580000,3.640000,3.460000,3.520000,3.520000,183200
2020-01-30,3.570000,3.570000,3.320000,3.490000,3.490000,183000
2020-01-31,3.460000,3.550000,3.410000,3.410000,3.410000,98700
2020-02-03,3.400000,3.470000,3.340000,3.350000,3.350000,114500
2020-02-04,3.350000,3.530000,3.320000,3.510000,3.510000,142300
2020-02-05,3.510000,3.560000,3.430000,3.480000,3.480000,81700
2020-02-06,3.400000,3.550000,3.400000,3.430000,3.430000,109400
2020-02-07,3.430000,3.560000,3.400000,3.540000,3.540000,155500
2020-02-10,3.480000,3.550000,3.270000,3.330000,3.330000,232200
2020-02-11,3.370000,3.460000,3.340000,3.380000,3.380000,190600
2020-02-12,3.400000,3.480000,3.400000,3.470000,3.470000,85900
2020-02-13,3.450000,3.550000,3.400000,3.530000,3.530000,195100
2020-02-14,3.540000,3.600000,3.460000,3.600000,3.600000,216100
2020-02-18,3.550000,3.600000,3.470000,3.570000,3.570000,165700
2020-02-19,3.600000,3.650000,3.510000,3.600000,3.600000,99300
2020-02-20,3.510000,3.600000,3.430000,3.580000,3.580000,212500
2020-02-21,3.540000,3.560000,3.430000,3.490000,3.490000,122700
2020-02-24,3.310000,3.350000,3.170000,3.230000,3.230000,328300
2020-02-25,3.230000,3.280000,3.200000,3.220000,3.220000,275800
2020-02-26,3.200000,3.320000,3.080000,3.130000,3.130000,180700
2020-02-27,3.060000,3.180000,3.020000,3.040000,3.040000,204500
2020-02-28,2.880000,3.130000,2.870000,3.110000,3.110000,251300
2020-03-02,3.110000,3.200000,3.020000,3.150000,3.150000,165200
2020-03-03,3.140000,3.140000,2.870000,2.940000,2.940000,146900
2020-03-04,3.050000,3.050000,2.910000,2.950000,2.950000,75900
2020-03-05,2.890000,2.930000,2.530000,2.600000,2.600000,251900
2020-03-06,2.600000,2.690000,2.600000,2.610000,2.610000,203300
2020-03-09,2.400000,2.440000,2.180000,2.270000,2.270000,348700
2020-03-10,2.480000,2.500000,2.400000,2.460000,2.460000,307400
2020-03-11,2.350000,2.390000,2.250000,2.330000,2.330000,226300
2020-03-12,2.180000,2.200000,2.000000,2.040000,2.040000,270900
2020-03-13,2.190000,2.190000,1.870000,2.010000,2.010000,293800
2020-03-16,2.000000,2.000000,1.740000,1.890000,1.890000,416100
2020-03-17,1.810000,1.990000,1.700000,1.780000,1.780000,378200
2020-03-18,1.730000,2.000000,1.550000,1.590000,1.590000,552800
2020-03-19,1.620000,1.790000,1.620000,1.670000,1.670000,473300
2020-03-20,1.710000,2.000000,1.590000,1.590000,1.590000,583100
2020-03-23,1.610000,1.680000,1.500000,1.550000,1.550000,375700
2020-03-24,1.680000,1.850000,1.680000,1.700000,1.700000,388500
2020-03-25,1.850000,1.980000,1.790000,1.830000,1.830000,582100
2020-03-26,1.810000,1.910000,1.770000,1.820000,1.820000,478300
2020-03-27,1.800000,1.810000,1.670000,1.700000,1.700000,207300
2020-03-30,1.760000,1.800000,1.730000,1.730000,1.730000,222700
2020-03-31,1.850000,1.850000,1.690000,1.730000,1.730000,212400
2020-04-01,1.620000,1.740000,1.610000,1.650000,1.650000,145100
2020-04-02,1.610000,1.770000,1.600000,1.670000,1.670000,315800
2020-04-03,1.670000,1.690000,1.570000,1.600000,1.600000,171400
2020-04-06,1.670000,1.780000,1.650000,1.750000,1.750000,310400
2020-04-07,1.830000,1.900000,1.740000,1.810000,1.810000,268700
2020-04-08,1.840000,2.000000,1.810000,1.990000,1.990000,234000
2020-04-09,2.030000,2.180000,2.030000,2.160000,2.160000,265500
2020-04-13,2.200000,2.200000,2.080000,2.170000,2.170000,99400
2020-04-14,2.200000,2.410000,2.140000,2.220000,2.220000,208500
2020-04-15,2.230000,2.230000,2.010000,2.120000,2.120000,128000
2020-04-16,2.150000,2.160000,2.070000,2.120000,2.120000,73400
2020-04-17,2.210000,2.210000,2.090000,2.140000,2.140000,82900
2020-04-20,2.140000,2.150000,2.040000,2.050000,2.050000,135700
